#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-03-30 23:57:59 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09112500 EAST RIVER AT ALMONT, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		18852	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	09112500	00060	18852	1949	5	834.4
USGS	09112500	00060	18852	1949	6	1566
USGS	09112500	00060	18852	1949	7	619.8
USGS	09112500	00060	18852	1949	8	213.3
USGS	09112500	00060	18852	1949	9	86.9
USGS	09112500	00060	18852	1949	10	100.3
USGS	09112500	00060	18852	1949	11	97.1
USGS	09112500	00060	18852	1949	12	76.8
USGS	09112500	00060	18852	1950	1	77.6
USGS	09112500	00060	18852	1950	2	58.8
USGS	09112500	00060	18852	1950	3	55.9
USGS	09112500	00060	18852	1950	4	329.1
USGS	09112500	00060	18852	1950	5	922.6
USGS	09112500	00060	18852	1950	6	1283
USGS	09112500	00060	18852	1950	7	390.5
USGS	09112500	00060	18852	1950	8	148.5
USGS	09112500	00060	18852	1950	9	97.7
USGS	09112500	00060	18852	1950	10	83.4
USGS	09112500	00060	18852	1950	11	66.7
USGS	09112500	00060	18852	1950	12	67.2
USGS	09112500	00060	18852	1951	1	62.2
USGS	09112500	00060	18852	1951	2	61.7
USGS	09112500	00060	18852	1951	3	62.6
USGS	09112500	00060	18852	1951	4	189.2
USGS	09112500	00060	18852	1951	5	903.7
USGS	09112500	00060	18852	1951	6	1426
USGS	09112500	00060	18852	1951	7	607.1
USGS	09112500	00060	18852	1951	8	274.2
USGS	09112500	00060	18852	1951	9	78.5
USGS	09112500	00060	18852	1951	10	78.3
USGS	09112500	00060	18852	1951	11	107.2
USGS	09112500	00060	18852	1951	12	74.6
USGS	09112500	00060	18852	1952	1	61.3
USGS	09112500	00060	18852	1952	2	54.4
USGS	09112500	00060	18852	1952	3	52.8
USGS	09112500	00060	18852	1952	4	330
USGS	09112500	00060	18852	1952	5	1541
USGS	09112500	00060	18852	1952	6	2307
USGS	09112500	00060	18852	1952	7	739.7
USGS	09112500	00060	18852	1952	8	337.4
USGS	09112500	00060	18852	1952	9	167.6
USGS	09112500	00060	18852	1952	10	103
USGS	09112500	00060	18852	1952	11	85
USGS	09112500	00060	18852	1952	12	77.2
USGS	09112500	00060	18852	1953	1	64.7
USGS	09112500	00060	18852	1953	2	55.6
USGS	09112500	00060	18852	1953	3	58.5
USGS	09112500	00060	18852	1953	4	136
USGS	09112500	00060	18852	1953	5	672.1
USGS	09112500	00060	18852	1953	6	1384
USGS	09112500	00060	18852	1953	7	410.2
USGS	09112500	00060	18852	1953	8	210.1
USGS	09112500	00060	18852	1953	9	67.6
USGS	09112500	00060	18852	1953	10	82.8
USGS	09112500	00060	18852	1953	11	89.1
USGS	09112500	00060	18852	1953	12	69.8
USGS	09112500	00060	18852	1954	1	57.4
USGS	09112500	00060	18852	1954	2	51.6
USGS	09112500	00060	18852	1954	3	53.8
USGS	09112500	00060	18852	1954	4	273.1
USGS	09112500	00060	18852	1954	5	611.8
USGS	09112500	00060	18852	1954	6	412.5
USGS	09112500	00060	18852	1954	7	186.4
USGS	09112500	00060	18852	1954	8	126.5
USGS	09112500	00060	18852	1954	9	72.1
USGS	09112500	00060	18852	1954	10	148.8
USGS	09112500	00060	18852	1954	11	87.8
USGS	09112500	00060	18852	1954	12	73.4
USGS	09112500	00060	18852	1955	1	64.4
USGS	09112500	00060	18852	1955	2	53
USGS	09112500	00060	18852	1955	3	48.6
USGS	09112500	00060	18852	1955	4	243.2
USGS	09112500	00060	18852	1955	5	684
USGS	09112500	00060	18852	1955	6	887.8
USGS	09112500	00060	18852	1955	7	339.1
USGS	09112500	00060	18852	1955	8	206.5
